word,quantity
da,148
a,52
na,32
cikin,28
mai,25
ta,22
kamar,19
mun,18
zuciya,16
rayuwa,16
"""""""",15
ka,13
cewa,13
ƙauna,12
ba,9
ya,9
soyayya,9
daga,9
"""",9
tana,9
duk,9
ilimi,8
mu,8
so,7
yana,7
ina,7
zuwa,7
dariya,7
domin,7
ne,6
ji,6
tafi,6
wannan,6
ke,6
rai,5
zai,5
ce,5
dare,5
yarinya,5
ga,5
yi,5
har,5
murmushi,5
lokacin,5
yadda,5
kuma,5
muna,5
wanda,5
ƙaunar,5
gudu,4
haske,4
sa,4
ko,4
buɗe,4
sun,4
zafi,4
amma,4
lokaci,4
gaskiya,4
ɗauki,4
iyali,4
jirgin,4
faɗa,3
jiki,3
inda,3
kai,3
ni,3
tafiya,3
birni,3
jin,3
sauti,3
ƙofa,3
ita,3
harshen,3
magana,3
lafiya,3
kyau,3
masu,3
"""idan",3
tare,3
keke,3
rana,3
ƙarfi,3
gida,3
don,3
juriya,3
wata,3
ƙwaƙwalwa,3
rubuta,3
tsaya,3
zaman,3
su,3
zama,3
suka,3
cikakken,3
sauri,3
fahimci,3
suna,3
juyin,3
taɓa,3
yarinyata,3
nuna,3
sama,3
maganganu,3
hausa,3
jima'i,3
tsoro,3
kowane,3
”,3
0,2
1,2
2,2
idan,2
shi,2
tsoron,2
samun,2
ƙauye,2
agogo,2
zuciyarka,2
malamai,2
tushen,2
koyi,2
ƙarfe,2
fahimta,2
matasa,2
sanyi,2
sani,2
dadi,2
mota,2
matsayin,2
mata,2
ƙasa,2
cike,2
safe,2
duhu,2
zuciyata,2
son,2
kudi,2
yayin,2
aure,2
sauƙi,2
jini,2
akwai,2
harin,2
bindiga,2
faɗi,2
yaki,2
tuna,2
sai,2
fuskanci,2
wani,2
tsanani,2
haƙuri,2
miliyoyi,2
bayyana,2
halitta,2
hannu,2
tituna,2
ƙara,2
lamari,2
sanya,2
abinci,2
raba,2
duniya,2
sarari,2
ɗaɗin,2
kalmomi,2
karin,2
za,2
aiki,2
juna,2
karshe,2
tashi,2
ƙarshe,2
bayan,2
“barka,2
dukkan,2
ka/ki,2
ƙarfin,2
100,1
1000,1
tsaunin,1
ruwa,1
tsira,1
guguwa,1
hurawa,1
rikice,1
birkice,1
rasa,1
karye,1
same,1
wuta,1
ƙonewa,1
bar,1
ƙura,1
shude,1
daɗinsa,1
'yan'uwa,1
baya,1
gushewa,1
dawo,1
iska,1
sanyaya,1
hanyar,1
labarin,1
gabatarwa,1
ɗan,1
matashi,1
raɗaɗin,1
fara,1
gari,1
ƙararrawa,1
saƙo,1
allah,1
"""ka",1
janairu,1
disamba,1
litinin,1
asabar,1
kalaman,1
"""soyayya",1
ƙware,1
saboda,1
harshenka,1
ƙunshe,1
arziƙi,1
zinariya,1
karfi,1
kimiyya,1
tsakiyar,1
rani,1
hadu,1
sha’awa,1
ido,1
fuska,1
fari,1
baƙi,1
hankali,1
gashi,1
laushi,1
gemu,1
gare,1
–,1
ƙarya,1
in,1
tsofaffi,1
sabo,1
tsohuwa,1
matsakaici,1
fadi,1
titi,1
kunshe,1
baƙin,1
ciki,1
kan,1
titin,1
namiji,1
tsabta,1
datse,1
rariya,1
tsalle,1
ma,1
yamma,1
saurari,1
waƙoƙi,1
ƙungiyar,1
rukunin,1
waƙa,1
sauraro,1
natsuwa,1
kallo,1
"""ke",1
hasken,1
kyakkyawar,1
madubi,1
ki,1
arziki,1
aljihun,1
banka,1
rauni,1
muke,1
haɗuwa,1
kasuwa,1
san,1
soya,1
dole,1
biya,1
farashin,1
fuskantar,1
kalubale,1
rikici,1
zuciyarmu,1
labari,1
nauyi,1
littafi,1
tsawo,1
gajeru,1
gaban,1
kotun,1
al'umma,1
aboki,1
makwabta,1
taimaka,1
ganin,1
addini,1
rayu,1
dai,1
saurayi,1
tsokana,1
ƙuncin,1
neman,1
koya,1
lauyoyi,1
likitoci,1
waɗanda,1
"""rayuwa",1
kawai,1
buƙatar,1
jinkiri,1
kalamai,1
ƙwaƙwalwarmu,1
wasiku,1
kirga,1
lamba,1
kowanne,1
sashe,1
ma'ana,1
afrilu,1
sune,1
ginshiƙai,1
barci,1
farka,1
bugawa,1
ƙafar,1
gano,1
hadawa,1
gilashi,1
fasaha,1
musa,1
kauna,1
litattafai,1
sami,1
tufafi,1
riga,1
hula,1
jaket,1
takalma,1
mutunci,1
girmamawa,1
uba,1
uwa,1
kasuwar,1
burodi,1
kwai,1
cuku,1
miyan,1
kaza,1
naman,1
lemu,1
gishiri,1
sukari,1
ɗakin,1
girki,1
dafa,1
abincin,1
taimako,1
gina,1
zumunci,1
motoci,1
tuka,1
sufuri,1
tsaye,1
injini,1
man,1
fetur,1
tashar,1
kasa,1
filin,1
sayya,1
tikitin,1
tsara,1
rayuwarmu,1
hikima,1
ƙarin,1
maganar,1
gargajiya,1
cewar,1
"""ƙaunar",1
ɗorewa,1
dutse,1
kauri,1
siriri,1
guda,1
gane,1
daraja,1
fiye,1
lokutan,1
gwaji,1
zamanin,1
ƙiyayya,1
fushi,1
zuƙu,1
yaro,1
takun-sani,1
ƙulla,1
ginshiƙin,1
sautin,1
zuciyoyinsu,1
taɗa,1
rediyo,1
talabijin,1
fina-finai,1
kiɗa,1
haifar,1
yanayi,1
kukan,1
dabara,1
yammacin,1
shaida,1
ƙaddara,1
mutuwa,1
yakin,1
haka,1
fure,1
lambu,1
sabuwa,1
kawo,1
daɗi,1
dalibi,1
malami,1
adabi,1
kyautatawa,1
“eh”,1
“a’a,1
safe”,1
“ina,1
ki”,1
“ki,1
gama,1
darussa,1
nemo,1
makamancin,1
taswira,1
yau,1
mika,1
wa,1
tsuntsu,1
iskar,1
bazara,1
kammalawa,1
wakar,1
haɗa,1
koyo,1
samu,1
fahimtar,1
zurfin,1
"""harshe",1
ruwan,1
muka,1
zata,1
sabuwar,1
mara,1
iyaka,1
kasance,1
hali,1
ƙalubale,1
ilimin,1
bacewa,1